Date,Open,High,Low,Close,Adj Close,Volume
2020-02-17,13161.272461,13166.465820,12576.228516,12826.357422,12826.357422,60885647694
2020-02-18,12827.797852,13470.661133,12768.686523,13442.942383,13442.942383,62656465933
2020-02-19,13445.331055,13478.236328,12711.064453,12736.059570,12736.059570,62126974458
2020-02-20,12730.690430,12743.028320,12605.003906,12740.166016,12740.166016,59567750306
2020-02-21,12744.549805,12847.845703,12707.464844,12810.270508,12810.270508,54130444433
2020-02-22,12811.943359,12825.862305,12696.916016,12779.509766,12779.509766,47395609076
2020-02-23,12779.690430,13173.072266,12772.380859,13153.178711,13153.178711,54583632764
2020-02-24,13149.292969,13186.034180,12662.704102,12822.669922,12822.669922,59900709921
2020-02-25,12824.181641,12827.811523,12362.604492,12406.213867,12406.213867,56462219826
2020-02-26,12401.678711,12432.893555,11594.444336,11772.274414,11772.274414,67292919069
2020-02-27,11778.375977,11934.899414,11441.040039,11758.484375,11758.484375,60864130448
2020-02-28,11764.152344,11929.027344,11425.932617,11616.320313,11616.320313,59746770596
2020-02-29,11614.655273,11754.520508,11518.612305,11518.612305,11518.612305,47942120193
2020-03-01,11518.946289,11707.783203,11364.894531,11505.412109,11505.412109,47498848816
2020-03-02,11506.500977,11889.445313,11465.338867,11815.731445,11815.731445,57092850964
2020-03-03,11810.026367,11886.304688,11641.166016,11757.531250,11757.531250,56710882565
2020-03-04,11758.541992,11806.901367,11680.513672,11717.171875,11717.171875,46501621373
2020-03-05,11723.916016,12272.979492,11719.859375,12161.248047,12161.248047,53176615981
2020-03-06,12160.639648,12289.809570,12097.784180,12245.193359,12245.193359,54801928609
2020-03-07,12243.924805,12303.915039,11938.046875,11963.839844,11963.839844,48630283254
2020-03-08,11961.493164,11969.735352,11040.367188,11047.454102,11047.454102,54464071155
2020-03-09,11051.583008,11120.875000,10418.237305,10820.608398,10820.608398,64097630846
2020-03-10,10818.563477,11113.887695,10763.632813,10861.996094,10861.996094,57970083400
2020-03-11,10862.491211,10900.201172,10517.625977,10898.454102,10898.454102,53287749088
2020-03-12,10901.465820,10920.200195,6773.097656,6930.849121,6930.849121,75265675790
2020-03-13,6996.441895,8093.804688,5720.531250,7701.561035,7701.561035,102651511745
2020-03-14,7714.532715,7819.346191,7124.102539,7228.769043,7228.769043,50256571076
2020-03-15,7229.742676,8015.441406,7185.562500,7448.329102,7448.329102,46960808988
2020-03-16,7438.541992,7438.541992,6363.965820,7023.055176,7023.055176,63540416256
2020-03-17,7006.385742,7517.782227,6977.761719,7439.937500,7439.937500,54988601653
2020-03-18,7442.050781,7715.430176,7324.110840,7576.998047,7576.998047,54788769002
2020-03-19,7587.091309,9189.403320,7665.817383,8981.129883,8981.129883,73983191567
2020-03-20,8981.798828,9753.763672,8439.810547,8905.474609,8905.474609,78215501618
2020-03-21,8916.599609,9163.147461,8523.390625,8885.775391,8885.775391,61049566657
2020-03-22,8886.481445,9136.659180,8414.276367,8429.422852,8429.422852,57976375979
2020-03-23,8431.041992,9330.881836,8372.249023,9291.067383,9291.067383,67322061060
2020-03-24,9320.502930,9765.302734,9247.546875,9725.831055,9725.831055,69637984530
2020-03-25,9731.481445,9887.445313,9412.173828,9497.565430,9497.565430,63387736720
2020-03-26,9489.189453,9587.427734,9371.050781,9428.928711,9428.928711,49583980477
2020-03-27,9433.068359,9518.565430,9067.932617,9072.274414,9072.274414,48497655309
2020-03-28,9068.707031,9069.053711,8579.349609,8753.740234,8753.740234,48921296542
2020-03-29,8758.551758,8765.342773,8308.953125,8319.274414,8319.274414,39859304272
2020-03-30,8324.184570,9234.573242,8281.464844,9118.274414,9118.274414,52614519858
2020-03-31,9119.358398,9231.500977,9078.624023,9065.612305,9065.612305,46163348087
2020-04-01,9063.745117,9359.734375,8819.446289,9351.528320,9351.528320,57108147326
2020-04-02,9351.528320,10047.399414,9333.620117,9600.580078,9600.580078,67352833587
2020-04-03,9605.911133,9933.542969,9435.242188,9566.952148,9566.952148,55378714626
2020-04-04,9574.049805,9780.048828,9520.626953,9763.803711,9763.803711,47181681479
2020-04-05,9756.709961,9786.390625,9548.271484,9680.483398,9680.483398,42065908833
2020-04-06,9676.093750,10261.414063,9664.681641,10261.414063,10261.414063,66177535215
2020-04-07,10264.042969,10406.038086,9986.832031,10058.519531,10058.519531,62012019255
2020-04-08,10062.541016,10337.451172,10037.733398,10271.844727,10271.844727,52609584788
2020-04-09,10277.261719,10285.882813,10085.486328,10215.017578,10215.017578,48703490053
2020-04-10,10217.431641,10217.431641,9501.560547,9579.766602,9579.766602,60869131178
2020-04-11,9582.483398,9664.291016,9474.315430,9570.821289,9570.821289,43565737625
2020-04-12,9569.405273,9920.898438,9503.837891,9736.391602,9736.391602,49944708680
2020-04-13,9728.744141,9728.744141,9322.447266,9496.737305,9496.737305,53580042624
2020-04-14,9494.300781,9680.556641,9441.203125,9498.083984,9498.083984,47349239274
2020-04-15,9502.433594,9633.663086,9367.226563,9378.791992,9378.791992,45591740942
2020-04-16,9376.454102,10016.276367,9260.495117,9992.007813,9992.007813,65683765863
2020-04-17,null,null,null,null,null,null
2020-04-18,9929.527344,10178.266602,9925.264648,10161.057617,10161.057617,45427523864
2020-04-19,10165.618164,10193.058594,10034.199219,10102.004883,10102.004883,43996007698
2020-04-20,10098.419922,10184.489258,9658.074219,9721.145508,9721.145508,53319874526
2020-04-21,9718.074219,9838.333008,9728.248047,9763.935547,9763.935547,46248428075
2020-04-22,9762.682617,10125.870117,9747.394531,10096.278320,10096.278320,47166351947
2020-04-23,10102.092773,10533.734375,10009.763672,10451.163086,10451.163086,61191201960
2020-04-24,10457.432617,10678.707031,10457.432617,10642.806641,10642.806641,48819317887
2020-04-25,10642.216797,10773.176758,10601.609375,10669.635742,10669.635742,46430279131
2020-04-26,10669.921875,10856.682617,10657.615234,10836.676758,10836.676758,46663641494
2020-04-27,10836.043945,10941.601563,10836.043945,10941.601563,10941.601563,50755776012
2020-04-28,10943.523438,10927.053711,10822.704102,10917.117188,10917.117188,46408881575
2020-04-29,10916.633789,12314.765625,10859.303711,12211.465820,12211.465820,83529140534
2020-04-30,12206.793945,13105.133789,11900.922852,12083.237305,12083.237305,93450881605
2020-05-01,12103.092773,12691.056641,12096.088867,12644.259766,12644.259766,62856948072
2020-05-02,12650.379883,12847.402344,12568.092773,12820.883789,12820.883789,57245685298
